Name,Tag,Organisatietype,Telefoon,Fax,E-mail,Internet,Beschrijving,Bezoekadres,Postadres
Politie,Laatst bijgewerkt op:19-12-2018,Politie en brandweer,112 (Bij spoed),No Fax Number,No E-mail,https://www.politie.nl,Non Beschrijving,NOn Bezoekadres,
Brandweer,Laatst bijgewerkt op:19-12-2018,Politie en brandweer,No contact NUmber,No Fax Number,No E-mail,https://www.brandweer.nl,Non Beschrijving,NOn Bezoekadres,
"Landbouw, Natuur en Voedselkwaliteit",Laatst bijgewerkt op:09-01-2020,Ministerie,070 379 8911 (algemeen),No Fax Number,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-landbouw-natuur-en-voedselkwaliteit,"Het ministerie van Landbouw, Natuur en Voedselkwaliteit staat voor een eerlijke en verantwoorde landbouw en visserij. Boeren, tuinders en vissers moeten economisch perspectief hebben en produceren in verbondenheid met waarden van duurzaamheid en welzijn. Samen met alle betrokkenen wordt er gewerkt aan het herstel en behoud van Nederlandse natuur. Het ministerie van LNV wil de internationale koppositie van de agrarische sector verstevigen met een nadruk op het benutten van kennis en innovatie. Daarmee draagt Nederland bij aan de aanpak van het wereldvoedselvraagstuk. Verder stimuleert het ministerie de vitalisering van de plattelandsregio’s in Nederland.","Bezuidenhoutseweg 73 ,2594 AC Den Haag","Postbus 20401 ,2500 EK Den Haag"
Financiën,Laatst bijgewerkt op:29-08-2019,Ministerie,1400 (algemeen),070 342 7900,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-financien,"Bij Financiën gaan we over het geld. Niet als doel, maar in dienst van een financieel gezond Nederland. Wij bewaken daarom de balans tussen inkomsten en uitgaven en borgen het goede functioneren van het financiële stelsel. Wij richten ons op het belang van de samenleving als geheel, op korte én lange termijn en zijn ons daarbij bewust van de impact van ons handelen op alle burgers en bedrijven. Wij heffen en innen belastingen en doen dat eerlijk en zorgvuldig. Wij zien erop toe dat de besteding van overheidsgeld en de vormgeving van ons fiscale stelsel zo goed mogelijk aansluiten bij de publieke belangen. Daartoe zetten wij in op evenwichtige besluitvorming, efficiënte uitvoering en effectief toezicht.","Korte Voorhout 7 ,2511 CW 's-Gravenhage","Postbus 20201 ,2500 EE 's-Gravenhage"
Sociale Zaken en Werkgelegenheid,Laatst bijgewerkt op:29-08-2019,Ministerie,070 333 4444 (algemeen),No Fax Number,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-sociale-zaken-en-werkgelegenheid,"Werk en bestaanszekerheid voor iedereen: samen werken voor samen leven. Het ministerie van Sociale Zaken en Werkgelegenheid werkt aan eerlijk, gezond en veilig werk in Nederland. Iedereen moet de kans krijgen om mee te doen en zich te ontwikkelen zodat je zelf kan bijdragen aan je eigen toekomst. Als het tegenzit zorgen we voor een vangnet, en als je met pensioen gaat voor een inkomen. Dat kan alleen in een land waar mensen er voor elkaar zijn. De bewindslieden zijn onder meer verantwoordelijk voor het arbeidsmarktbeleid, inclusief migratie en vrij verkeer van werknemers, uitkeringen en re-integratie, inkomensbeleid, het combineren van arbeid en zorg, arbeidsomstandighedenbeleid en inspectie daarop.","Parnassusplein 5 ,2511 VX Den Haag","Postbus 90801 ,2509 LV Den Haag"
Sint Eustatius,Laatst bijgewerkt op:10-12-2019,Caribisch openbaar lichaam,+599 318 33 70 (algemeen),No Fax Number,mailto:info@rijksdienstcn.com,https://www.rijksdienstcn.com,Non Beschrijving,"Mazinga Complex A, B ,Fort Oranjestraat",
Sociaal Economische Raad,Laatst bijgewerkt op:18-06-2019,Openbaar lichaam voor beroep en bedrijf,No contact NUmber,No Fax Number,No E-mail,No web Link,Non Beschrijving,"Bezuidenhoutseweg 60 ,2594 AW 's-Gravenhage","Postbus 90405 ,2509 LK 's-Gravenhage"
Justitie en Veiligheid,Laatst bijgewerkt op:09-01-2020,Ministerie,070 370 79 11 (algemeen),070 370 79 00,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-justitie-en-veiligheid,"Het ministerie van Justitie en Veiligheid zorgt voor de rechtsstaat in Nederland, zodat mensen in vrijheid kunnen samenleven, ongeacht hun levensstijl of opvattingen. Justitie en Veiligheid werkt aan een veiliger en rechtvaardiger samenleving door mensen rechtsbescherming te geven en waar nodig in te grijpen in hun leven. Soms is dat een ingrijpende maatregel, soms worden nieuwe perspectieven geopend. Altijd zijn het ingrepen die alleen Justitie en Veiligheid kan en mag doen. Recht raakt mensen.","Turfmarkt 147 ,2511 DP Den Haag","Postbus 20301 ,2500 EH Den Haag"
"Volksgezondheid, Welzijn en Sport",Laatst bijgewerkt op:24-03-2020,Ministerie,070 340 79 11 (algemeen),070 340 78 34,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-volksgezondheid-welzijn-en-sport,"We worden met z’n allen steeds ouder en blijven steeds langer vitaal. Daarnaast kunnen we steeds meer ziektes behandelen. Dat is prachtig. Tegelijk maken mensen zich zorgen over de toekomst van de zorg, die veel geld kost en met een tekort aan werknemers kampt. Het ministerie van Volksgezondheid, Welzijn en Sport wil dat mensen erop kunnen vertrouwen dat de zorg goed, betaalbaar en beschikbaar is en blijft.","Parnassusplein 5 ,2511 VX Den Haag","Postbus 20350 ,2500 EJ Den Haag"
Rechtbank Rotterdam,Laatst bijgewerkt op:02-12-2019,Rechtspraak,(088) 362 60 00 (algemeen),No Fax Number,mailto:rechtbankrotterdam@rechtspraak.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Rotterdam,"De rechtbank Rotterdam bestaat uit twee hoofdlocaties, Rotterdam en Dordrecht, waar jaarlijks zo’n 185.000 zaken worden behandeld. De rechtbank Rotterdam heeft ongeveer 950 medewerkers in dienst waarvan 200 rechters. De ambitie van de rechtbank Rotterdam is om het werk op beide locaties te organiseren met de blik van buiten naar binnen. De maatschappij en het perspectief van de rechtzoekende staan daarbij centraal.",NOn Bezoekadres,
