City_name,Hospital_name,Hospital_url,Telephone,Address
Albuquerque,Acequia Animal Hospital,http://www.findalocalvet.com/Profiles/Acequia-Animal-Hospital.aspx,(505) 898-1050,"3600 Calle Cuervo Nw,Albuquerque,NM,87114"
Kansas City,Blue Ridge Plaza Animal Clinic,http://www.findalocalvet.com/Profiles/Blue-Ridge-Plaza-Animal-Clinic.aspx,(816) 356-2424,"10600 Blue Ridge Blvd,Kansas City,MO,64134"
Fort Lauderdale,Southport Animal Hospital,http://www.findalocalvet.com/Profiles/Southport-Animal-Hospital.aspx,(954) 522-2577,"400 SE 29th Street,Fort Lauderdale,FL,33316"
Fort Lauderdale,Imperial Point Animal Hospital,http://www.findalocalvet.com/Profiles/Imperial-Point-Animal-Hospital.aspx,(954) 771-0156,"1574 E Commercial Blvd,Fort Lauderdale,FL,33334"
Detroit,Rosedale Veterinary Housecalls,http://www.findalocalvet.com/Profiles/Rosedale-Veterinary-Housecalls.aspx,,"16595 Glastonbury Rd,Detroit,MI,48219"
Denver,Evans East Animal Hospital,http://www.findalocalvet.com/Profiles/Evans-East-Animal-Hospital.aspx,(303) 626-2085,"5353 E Evans Avenue,Denver,CO,80222"
Columbus,Suburban Animal Clinic,http://www.findalocalvet.com/Profiles/Suburban-Animal-Clinic.aspx,(614) 276-5479,"640 N Wilson Rd,Columbus,OH,43204"
Columbus,East Columbus Veterinary Hospital,http://www.findalocalvet.com/Profiles/East-Columbus-Veterinary-Hospital.aspx,(614) 444-8639,"855 E Livingston Avenue,Columbus,OH,43205"
Colorado Springs,Mountain Shadows Pet Hospital,http://www.findalocalvet.com/Profiles/Mountain-Shadows-Pet-Hospital.aspx,(719) 533-0910,"5010 Boardwalk Drive,Colorado Springs,CO,80919"
Albuquerque,St Francis Animal Clinic,http://www.findalocalvet.com/Profiles/St-Francis-Animal-Clinic.aspx,,"6401 Menaul Blvd NE,Albuquerque,NM,87110"
Albuquerque,Blackshear Veterinary Housecalls,http://www.findalocalvet.com/Profiles/Blackshear-Veterinary-Housecalls.aspx,(505) 300-4459,"304 Dartmouth Dr SE,Albuquerque,NM,87106"
Indianapolis,Rockville Road Animal Hospital,http://www.findalocalvet.com/Profiles/Rockville-Road-Animal-Hospital.aspx,,"7351 Rockville Rd,Indianapolis,IN,46214"
Indianapolis,Eagle Creek Animal Clinic,http://www.findalocalvet.com/Profiles/Eagle-Creek-Animal-Clinic.aspx,(317) 291-5830,"7307 W 38th St,Indianapolis,IN,46214"
